Name,Index,Description
"none",0,"Default, unlabeled, or unspecified."
"aluminum",1,"Signs, poles, etc."
"steel",2,"Heavy construction metals."
"oxidized_steel",3,"Rusted steel."
"iron",4,"Manhole covers, drainage grills, etc."
"oxidized_iron",5,"Rusted iron."
"silver",6,"Shiny metals."
"brass",7,"Architecture."
"bronze",8,"Statues, etc."
"oxidized_Bronze_Patina",9,"Old statues."
"tin",10,"Food cans, etc."
"plastic",11,"Generic plastics, etc."
"fiberglass",12,"Car bumpers, etc."
"carbon_fiber",13,"Car parts, bycicle parts, etc."
"vinyl",14,"Car interior, etc."
"plexiglass",15,"Light covers, etc."
"pvc",16,"Water tubing, etc."
"nylon",17,"Plastic batc, etc."
"polyester",18,"Some clothing, etc."
"clear_glass",19,"Glass that is clear with no contaminants."
"frosted_glass",20,"Glass that has volumetric particulates/imperfections."
"one_way_mirror",21,"Building glass panels."
"mirror",22,"Side mirrors, etc."
"ceramic_glass",23,"Heavy duty glass in construction."
"asphalt",24,"Roads, etc."
"concrete",25,"Construction."
"leaf_grass",26,"Live vegetation."
"dead_leaf_grass",27,"Dead vegetation."
"rubber",28,"Tires, etc."
"wood",29,"Construction."
"bark",30,"Trees, vegetation."
"cardboard",31,"Boxes, etc."
"paper",32,"News papers, paper bags, writing paper, etc."
"fabric",33,"Clothing."
"skin",34,"Human, pig, etc."
"fur_hair",35,"Human head, animal, etc."
"leather",36,"Clothing, car interior, etc."
"marble",37,"Construction."
"brick",38,"Construction."
"stone",39,"Nature, stones that have structure."
"gravel",40,"Nature, finer stones such as pebbles."
"dirt",41,"Nature, very fine grainoles such as sand/dust."
"mud",42,"Nature, wet dirt."
"water",43,"Nature, water fountains, lakes, rivers, etc."
"salt_water",44,"Nature, oceans and seas, free from biologics."
"snow",45,"Nature, frozen water droplets (crystalline)."
"ice",46,"Nature, frozen water, larger bodies."
"calibration_lambertion",47,"Special material with defined diffuse reflectance such as target panels with know reflectance."
